title,budget,revenue,runtime,genres,release_date,production_companies,director
The Twilight Saga: Breaking Dawn - Part 2,120000000,829747654,115,"Adventure, Fantasy, Drama, Romance",2012-11-13,"Summit Entertainment, Temple Hill Entertainment, Sunswept Entertainment, Lionsgate",Bill Condon
Legally Blonde,18000000,141774679,96,"Comedy, Romance",2001-07-13,"Metro-Goldwyn-Mayer, Marc Platt Productions",Robert Luketic
The Nun,22000000,366082797,96,Horror,2018-09-05,"New Line Cinema, Atomic Monster, The Safran Company",Corin Hardy
WALL·E,180000000,521311860,98,"Animation, Family, Science Fiction",2008-06-22,"Pixar, Walt Disney Pictures",Andrew Stanton
Eyes Wide Shut,65000000,162100000,159,"Drama, Thriller, Mystery",1999-07-16,"Warner Bros. Pictures, Stanley Kubrick Productions",Stanley Kubrick
Rio,90000000,483866772,96,"Animation, Adventure, Comedy, Family",2011-04-03,"Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",Carlos Saldanha
American Psycho,7000000,34300000,102,"Thriller, Drama, Crime",2000-04-13,"Lionsgate, Pressman Film, Muse Productions, Christian Halsey Solomon Productions",Mary Harron
Up,175000000,735099082,96,"Animation, Comedy, Family, Adventure",2009-05-28,Pixar,Pete Docter
Transformers: The Last Knight,217000000,605425157,154,"Action, Adventure, Science Fiction",2017-06-16,"Paramount Pictures, di Bonaventura Pictures, Ian Bryce Productions, DeSanto/Murphy Productions, Hasbro",Michael Bay
Hidden Figures,25000000,235957472,127,"Drama, History",2016-12-10,"Fox 2000 Pictures, Levantine Films, Chernin Entertainment",Theodore Melfi
Beautiful Boy,25000000,7700000,119,Drama,2018-10-12,Plan B Entertainment,Felix van Groeningen
In Time,40000000,173900000,109,"Action, Thriller, Science Fiction",2011-10-27,"New Regency Pictures, Strike Entertainment",Andrew Niccol
Elyas,12460000,1359330,99,"Action, Thriller",2024-07-03,"Récifilms, France 2 Cinéma, Orange Studio",Florent-Emilio Siri
Shrek Forever After,165000000,752600867,93,"Comedy, Adventure, Fantasy, Animation, Family",2010-05-20,DreamWorks Animation,Mike Mitchell
The Little Mermaid,40000000,211343479,83,"Animation, Family, Fantasy",1989-11-17,"Walt Disney Pictures, Silver Screen Partners IV, Walt Disney Feature Animation",John Musker
Babylon,78000000,65267446,189,"Drama, Comedy",2022-12-22,"Paramount Pictures, Marc Platt Productions, C2 Motion Picture Group, Organism Pictures, Wild Chickens Productions",Damien Chazelle
Corpse Bride,40000000,118133252,77,"Romance, Fantasy, Animation",2005-09-12,"Tim Burton Productions, Laika, Patalex Productions, Warner Bros. Pictures, Will Vinton Studios",Mike Johnson
Doctor Strange,180000000,676343174,115,"Action, Adventure, Fantasy",2016-10-25,Marvel Studios,Scott Derrickson
Emilia Pérez,26000000,16302703,132,"Drama, Thriller",2024-08-21,"Why Not Productions, Pathé, France 2 Cinéma, Page 114, Saint Laurent Productions, Saint Laurent, Library Pictures International, Logical Content Ventures, Les Films du Fleuve, The Veterans, Vixens, Casa Kafka Pictures, Pimienta Films",Jacques Audiard
The Matrix Reloaded,150000000,738599701,138,"Adventure, Action, Thriller, Science Fiction",2003-05-15,"Village Roadshow Pictures, Silver Pictures, NPV Entertainment",Lilly Wachowski
Unfaithful,50000000,119137784,124,"Thriller, Drama, Romance",2002-05-10,"Fox 2000 Pictures, Regency Enterprises, Epsilon Motion Pictures, Unfaithful Filmproduktion",Adrian Lyne
Samson and Delilah,3000000,11500000,134,"Adventure, Romance, Drama",1949-12-21,Paramount Pictures,Cecil B. DeMille
White Chicks,37000000,113100000,109,"Comedy, Crime",2004-06-23,"Columbia Pictures, Revolution Studios, Wayans Bros. Entertainment, Gone North Productions",Keenen Ivory Wayans
Talk to Me,4500000,92000000,94,Horror,2023-07-26,"Causeway Films, Screen Australia, South Australian Film Corporation, Bankside Films, Head Gear Films, Metrol Technology",Michael Philippou
Terrifier,35000,421798,84,"Horror, Thriller",2018-01-25,Dark Age Cinema,Damien Leone
The Amazing Spider-Man 2,200000000,708962323,141,"Action, Adventure, Science Fiction",2014-04-16,"Columbia Pictures, Matt Tolmach Productions, Arad Productions, Marvel Entertainment",Marc Webb
Jack Reacher,60000000,218300000,130,"Crime, Drama, Thriller, Action",2012-12-20,"Paramount Pictures, Skydance Media, TC Productions",Christopher McQuarrie
Jumanji: The Next Level,125000000,801693929,123,"Adventure, Comedy, Fantasy",2019-12-04,"Columbia Pictures, Seven Bucks Productions, Matt Tolmach Productions, The Detective Agency",Jake Kasdan
Jumanji: The Next Level,125000000,801693929,123,"Adventure, Comedy, Fantasy",2019-12-04,"Columbia Pictures, Seven Bucks Productions, Matt Tolmach Productions, The Detective Agency",Jake Kasdan
I'm Still Here,1480000,35741532,138,"Drama, History",2024-09-19,"VideoFilmes, MACT Productions, RT Features, ARTE France Cinéma, Conspiração Filmes, Globoplay",Walter Salles
Cinderella,95000000,543514353,105,"Romance, Fantasy, Family, Drama",2015-03-06,"Walt Disney Pictures, Genre Films, Beagle Pug Films, Allison Shearmur Productions",Kenneth Branagh
Jumanji: Welcome to the Jungle,90000000,995339117,119,"Adventure, Comedy, Fantasy, Action, Family",2017-12-09,"Matt Tolmach Productions, Seven Bucks Productions, Columbia Pictures",Jake Kasdan
Scary Movie,19000000,278019771,88,Comedy,2000-07-07,"Brad Grey Pictures, Gold/Miller Productions, Wayans Bros. Entertainment, Dimension Films",Keenen Ivory Wayans
Back to the Future,19000000,381109762,116,"Adventure, Comedy, Science Fiction",1985-07-03,"Universal Pictures, Amblin Entertainment",Robert Zemeckis
Pacific Rim,180000000,411000000,131,"Action, Science Fiction, Adventure",2013-07-11,"Double Dare You, Legendary Pictures",Guillermo del Toro
The Nun II,38500000,269670590,110,Horror,2023-09-06,"New Line Cinema, Atomic Monster, The Safran Company",Michael Chaves
Caligula,17500000,23400000,156,"Drama, History",1979-08-14,"Penthouse Films International, Felix Cinematografica",Tinto Brass
Final Destination 3,25000000,118890272,92,"Horror, Mystery",2006-02-09,"New Line Cinema, Zide-Perry Productions, Hard Eight Pictures, Matinee Pictures, Practical Pictures",James Wong
Maleficent: Mistress of Evil,185000000,491730089,119,"Family, Fantasy, Adventure, Action",2019-10-16,"Walt Disney Pictures, Roth Films",Joachim Rønning
Django Unchained,100000000,425368238,165,"Drama, Western",2012-12-25,"The Weinstein Company, Columbia Pictures",Quentin Tarantino
Grown Ups 2,80000000,247022278,101,Comedy,2013-07-11,"Columbia Pictures, Happy Madison Productions",Dennis Dugan
Raya and the Last Dragon,100000000,130423032,107,"Animation, Family, Fantasy, Action, Adventure",2021-03-03,"Walt Disney Pictures, Walt Disney Animation Studios",Don Hall
Aladdin,183000000,1054300000,127,"Adventure, Fantasy, Romance, Family",2019-05-22,"Walt Disney Pictures, Rideback",Guy Ritchie
Blade Runner,28000000,41722424,118,"Science Fiction, Drama, Thriller",1982-06-25,"Shaw Brothers, The Ladd Company, Warner Bros. Pictures",Ridley Scott
Insidious,1500000,100106454,102,"Horror, Thriller",2011-03-31,"Alliance Films, IM Global, Haunted Movies",James Wan
Shooter,61000000,95700000,124,"Drama, Action, Thriller",2007-03-22,"Paramount Pictures, di Bonaventura Pictures, Grosvenor Park Impact Productions",Antoine Fuqua
Matilda,36000000,33500000,98,"Comedy, Family, Fantasy",1996-08-02,"Jersey Films, TriStar Pictures",Danny DeVito
Mission: Impossible - Ghost Protocol,145000000,694713380,133,"Action, Thriller, Adventure",2011-12-07,"Paramount Pictures, Bad Robot, TC Productions, Skydance Media",Brad Bird
The Creator,80000000,104272136,134,"Science Fiction, Action, Adventure",2023-09-27,"New Regency Pictures, Entertainment One, Regency Enterprises, Bad Dreams Productions",Gareth Edwards
Eternals,200000000,402064899,156,"Science Fiction, Action, Adventure",2021-11-03,Marvel Studios,Chloé Zhao
A Man Called Otto,50000000,108961677,126,"Comedy, Drama",2022-12-28,"Playtone, SF Studios, Artistic Films, Columbia Pictures, 2DUX², TSG Entertainment",Marc Forster
Black Adam,200000000,393452111,125,"Action, Adventure, Science Fiction",2022-10-19,"New Line Cinema, Flynn Picture Company, DC Films, Seven Bucks Productions, Warner Bros. Pictures",Jaume Collet-Serra
Upgrade,5000000,16706680,100,"Action, Thriller, Science Fiction",2018-05-31,"Goalpost Pictures, Automatik Entertainment, Blumhouse Productions, Nervous Tick Productions, Film Victoria, BH Tilt, Fulcrum Media Finance",Leigh Whannell
M3GAN,12000000,181796517,102,"Science Fiction, Horror",2022-12-28,"Atomic Monster, Blumhouse Productions, Divide / Conquer",Gerard Johnstone
Edge of Tomorrow,178000000,370541256,114,"Action, Science Fiction",2014-05-27,"RatPac Entertainment, Village Roadshow Pictures, VIZ Media, 3 Arts Entertainment, Warner Bros. Pictures",Doug Liman
"Miraculous: Ladybug & Cat Noir, The Movie",86000000,40208268,107,"Animation, Fantasy, Action, Romance, Family",2023-07-05,"The Awakening Production, SND, Fantawild, Zag Animation Studios, ON Animation Studios",Jeremy Zag
Kung Fu Panda,130000000,632091832,90,"Action, Adventure, Animation, Family, Comedy",2008-06-04,DreamWorks Animation,Mark Osborne
Evil Dead Rise,15000000,147156372,96,"Horror, Thriller",2023-04-12,"New Line Cinema, Pacific Renaissance Pictures, Renaissance Pictures, Ghost House Pictures, Wild Atlantic Pictures",Lee Cronin
Borderlands,115000000,32978510,101,"Action, Science Fiction, Comedy",2024-08-07,"Lionsgate, Arad Productions, Picturestart, Gearbox Studios, 2K, Hercules Film Fund",Eli Roth
Kingsman: The Secret Service,81000000,414351546,129,"Crime, Comedy, Action, Adventure",2015-01-24,"20th Century Fox, Marv, Cloudy Productions, TSG Entertainment",Matthew Vaughn
Dogman,22700000,4082217,115,"Action, Drama, Crime",2023-09-27,"EuropaCorp, LBP, TF1 Films Production, Mediamax Films, Kinology, TF1, Canal+, Ciné+, TMC",Luc Besson
Dragonkeeper,25600000,6206231,99,"Animation, Family, Action, Adventure, Fantasy",2024-04-11,"Movistar+, Atresmedia, China Film Animation, Guardián de Dragones AIE, Telefonica, China Film Administration",Jian-Ping Li
Scarface,25000000,66023329,169,"Action, Crime, Drama",1983-12-09,"Universal Pictures, Martin Bregman Productions",Brian De Palma
Thor: Love and Thunder,250000000,760900000,119,"Fantasy, Action, Comedy",2022-07-06,"Marvel Studios, Kevin Feige Productions",Taika Waititi
Clueless,12000000,56631572,97,"Comedy, Romance",1995-07-19,"Paramount Pictures, Robert Lawrence Productions, Scott Rudin Productions",Amy Heckerling
Notting Hill,42000000,363889678,124,"Romance, Comedy",1999-05-21,"Working Title Films, Notting Hill Pictures, Duncan Kenworthy Productions",Roger Michell
Ocean's Eleven,85000000,450717150,116,"Thriller, Crime",2001-12-07,"Warner Bros. Pictures, Village Roadshow Pictures, NPV Entertainment, Jerry Weintraub Productions, Section Eight",Steven Soderbergh
Turning Red,175000000,21328962,100,"Animation, Family, Comedy, Fantasy",2022-03-10,"Walt Disney Pictures, Pixar",Domee Shi
Batman Begins,150000000,374218673,140,"Action, Crime, Drama",2005-06-10,"Warner Bros. Pictures, DC, Syncopy, Legendary Pictures, Patalex III Productions Limited",Christopher Nolan
Nobody,17000000,61779301,91,"Action, Thriller",2021-03-18,"87North Productions, Odenkirk Provissiero Entertainment, Eighty Two Films",Ilya Naishuller
Never Let Go,20000000,21768945,101,Horror,2024-09-18,"Lionsgate, 21 Laps Entertainment, Media Capital Technologies, HalleHolly, Summit Entertainment, Firstep",Alexandre Aja
Terrifier 2,250000,15741780,138,"Horror, Thriller",2022-10-06,"Dark Age Cinema, Fuzz on the Lens Productions, Bloody Disgusting, The Coven, Gelt Films",Damien Leone
Brave,185000000,539000000,93,"Animation, Adventure, Comedy, Family, Action, Fantasy",2012-06-21,"Walt Disney Pictures, Pixar",Mark Andrews
Logan,97000000,619021436,137,"Action, Drama, Science Fiction",2017-02-28,"Hutch Parker Entertainment, The Donners' Company, Genre Films, 20th Century Fox, Marvel Entertainment, TSG Entertainment",James Mangold
The Croods: A New Age,65000000,215905815,95,"Animation, Family, Adventure, Fantasy, Comedy",2020-11-25,"Universal Pictures, DreamWorks Animation",Joel Crawford
Final Destination 2,26000000,90941129,90,"Horror, Mystery",2003-01-31,"New Line Cinema, Zide-Perry Productions",David R. Ellis
About Time,12000000,87100449,123,"Drama, Romance, Fantasy",2013-09-04,"Universal Pictures, Relativity Media, Working Title Films",Richard Curtis
Sing 2,85000000,408402685,109,"Animation, Family, Music, Comedy",2021-12-01,"Universal Pictures, Illumination",Garth Jennings
Beauty and the Beast,25000000,424967620,84,"Romance, Family, Animation, Fantasy",1991-10-22,"Walt Disney Pictures, Silver Screen Partners IV, Walt Disney Feature Animation",Gary Trousdale
Princess Mononoke,23500000,176506186,134,"Adventure, Fantasy, Animation",1997-07-12,"Studio Ghibli, Nibariki, dentsu Music and Entertainment, TNDG, Tokuma Shoten, Nippon Television Network Corporation, dentsu",Hayao Miyazaki
The Lorax,70000000,349305397,86,"Animation, Family",2012-03-01,"Universal Pictures, Illumination, dentsu, Dr. Seuss Enterprises",Chris Renaud
Bad Boys,19000000,141407024,119,"Action, Comedy, Crime, Thriller",1995-04-07,"Columbia Pictures, Don Simpson/Jerry Bruckheimer Films",Michael Bay
Transformers: Age of Extinction,210000000,1104054072,165,"Science Fiction, Action, Adventure",2014-06-25,"di Bonaventura Pictures, DeSanto/Murphy Productions, Ian Bryce Productions, Paramount Pictures, Hasbro",Michael Bay
Damsel,60000000,5000,107,"Fantasy, Action, Adventure",2024-03-07,"PCMA Productions, Roth-Kirschenbaum Films, Palma Pictures",Juan Carlos Fresnadillo
John Wick: Chapter 3 - Parabellum,55000000,326709727,131,"Action, Thriller, Crime",2019-05-15,"Thunder Road, Lionsgate, 87Eleven",Chad Stahelski
Raiders of the Lost Ark,18000000,389925971,115,"Adventure, Action",1981-06-12,"Paramount Pictures, Lucasfilm Ltd.",Steven Spielberg
Ted 2,68000000,215863606,115,"Comedy, Fantasy",2015-06-25,"Smart Entertainment, Universal Pictures, Fuzzy Door, Bluegrass Films, MRC",Seth MacFarlane
The Help,25000000,216600000,146,Drama,2011-08-09,"1492 Pictures, Harbinger Pictures",Tate Taylor
The Hunger Games: Catching Fire,130000000,865011746,146,"Adventure, Action, Science Fiction",2013-11-15,"Lionsgate, Color Force",Francis Lawrence
Zodiac,65000000,84785914,157,"Crime, Drama, Mystery, Thriller",2007-03-02,"Paramount Pictures, Warner Bros. Pictures, Phoenix Pictures",David Fincher
Inside Man,45000000,186003591,129,"Crime, Drama, Thriller",2006-03-17,"40 Acres and a Mule Filmworks, Imagine Entertainment, Universal Pictures",Spike Lee
Bohemian Rhapsody,52000000,910813521,135,"Music, Drama",2018-10-24,"20th Century Fox, Regency Enterprises, GK Films, TSG Entertainment",Bryan Singer
Tenet,205000000,365304105,150,"Action, Thriller, Science Fiction",2020-08-22,"Warner Bros. Pictures, Syncopy",Christopher Nolan
The Zone of Interest,15000000,52631884,105,"Drama, History, War",2023-12-15,"A24, Film4 Productions, Access Entertainment, JW Films, Extreme Emotions",Jonathan Glazer
Sing,75000000,634151679,107,"Animation, Comedy, Family, Music",2016-11-23,"Illumination, Universal Pictures, Fuji Television Network, dentsu",Garth Jennings
The Princess and the Frog,105000000,270997378,98,"Animation, Romance, Fantasy, Family",2009-12-08,"Walt Disney Pictures, Walt Disney Animation Studios",Ron Clements
Life of Pi,120000000,609016565,127,"Adventure, Drama",2012-11-20,"Fox 2000 Pictures, Dune Entertainment, Ingenious Media, Haishang Films, Netter Productions, India Take One, Big Screen Productions",Ang Lee
Eternal Sunshine of the Spotless Mind,20000000,72258126,108,"Science Fiction, Drama, Romance",2004-03-19,"Focus Features, Anonymous Content, This is that",Michel Gondry
Kill Bill: Vol. 1,30000000,180906076,111,"Action, Crime",2003-10-10,"Miramax, A Band Apart, Super Cool ManChu",Quentin Tarantino
I Am Legend,150000000,585410052,101,"Drama, Science Fiction, Thriller",2007-12-12,"Warner Bros. Pictures, Village Roadshow Pictures, Weed Road Pictures, Overbrook Entertainment, Heyday Films, Original Film",Francis Lawrence
Halloween,325000,70260597,91,"Horror, Thriller",1978-10-24,"Compass International Pictures, Falcon International Productions",John Carpenter
Cars,120000000,461983149,117,"Animation, Adventure, Comedy, Family",2006-06-08,"Pixar, Walt Disney Pictures",John Lasseter
Amélie,10000000,173921954,122,"Comedy, Romance",2001-04-25,"Victoires Productions, Tapioca Films, France 3 Cinéma, MMC Independent, UGC",Jean-Pierre Jeunet
Scream VI,35000000,168961389,123,"Horror, Crime, Thriller",2023-03-08,"Radio Silence Productions, Project X Entertainment, Spyglass Media Group, Paramount Pictures",Tyler Gillett
Apocalypto,40000000,120654337,139,"Action, Drama, History",2006-12-07,"Icon Entertainment International, Icon Productions, Touchstone Pictures",Mel Gibson
Creed,37000000,173600000,133,"Action, Drama",2015-11-25,"Metro-Goldwyn-Mayer, New Line Cinema, Chartoff-Winkler Productions",Ryan Coogler
Ready or Not,6000000,57600000,95,"Horror, Comedy",2019-08-21,"Mythology Entertainment, Vinson Films, Fox Searchlight Pictures, Radio Silence Productions",Matt Bettinelli-Olpin
Toy Story 4,175000000,1073841394,100,"Family, Adventure, Animation, Comedy, Fantasy",2019-06-19,"Walt Disney Pictures, Pixar",Josh Cooley
The Greatest Showman,84000000,459066134,105,Drama,2017-12-20,"Chernin Entertainment, 20th Century Fox, TSG Entertainment",Michael Gracey
Jaws,7000000,470653000,124,"Horror, Thriller, Adventure",1975-06-20,"The Zanuck/Brown Company, Universal Pictures",Steven Spielberg
Crazy Rich Asians,30000000,238539198,121,"Comedy, Romance",2018-08-15,"SK Global Entertainment, Color Force, Ivanhoe Pictures, Warner Bros. Pictures, Starlight Culture Entertainment Group",Jon M. Chu
The Da Vinci Code,125000000,760006945,149,"Thriller, Mystery",2006-05-17,"Imagine Entertainment, Skylark Productions",Ron Howard
The Glassworker,116000,108000,98,"Animation, Family, Romance, War",2024-07-26,Mano Animation Studios,Usman Riaz
Bad Boys for Life,90000000,426505244,124,"Thriller, Action, Crime",2020-01-15,"Columbia Pictures, 2.0 Entertainment, Don Simpson/Jerry Bruckheimer Films, Overbrook Entertainment",Bilall Fallah
Spider-Man: Far From Home,160000000,1131927996,129,"Action, Adventure, Science Fiction",2019-06-28,"Marvel Studios, Pascal Pictures, Columbia Pictures",Jon Watts
Blacklight,43000000,15902207,104,"Action, Thriller, Adventure",2022-02-10,"The Solution, Zero Gravity Management, Film Victoria, Lightstream Entertainment, Screen Australia, Footloose Productions, Sina Studios, Fourstar Film Partners Production, Elevate Production Finance, Monty the Dog Productions",Mark Williams
Braveheart,72000000,213216216,177,"Action, Drama, History, War",1995-05-24,"Icon Entertainment International, The Ladd Company, B.H. Finance C.V.",Mel Gibson
Aliens,18500000,183316455,137,"Action, Thriller, Science Fiction",1986-07-18,"SLM Production Group, 20th Century Fox, Brandywine Productions",James Cameron
Mission: Impossible - Fallout,178000000,791658205,147,"Action, Adventure",2018-07-13,"Paramount Pictures, Bad Robot, Skydance Media, TC Productions",Christopher McQuarrie
Memento,9000000,40047236,113,"Mystery, Thriller",2000-10-11,"Newmarket Films, Summit Entertainment, Team Todd, I Remember Productions",Christopher Nolan
The Flash,220000000,271333313,144,"Adventure, Action, Science Fiction",2023-06-13,"Warner Bros. Pictures, Double Dream, The Disco Factory, DC Films",Andy Muschietti
She's the Man,20000000,33900000,105,"Comedy, Romance",2006-03-17,"Lakeshore Entertainment, DreamWorks Pictures, The Donners' Company",Andy Fickman
Aladdin,28000000,504050219,95,"Animation, Family, Adventure, Fantasy, Romance",1992-11-25,"Walt Disney Pictures, Walt Disney Feature Animation",Ron Clements
The Emperor's New Groove,100000000,169327687,78,"Adventure, Animation, Comedy, Family, Fantasy",2000-12-15,"Walt Disney Pictures, Walt Disney Feature Animation",Mark Dindal
Cinderella,2900000,263600000,74,"Family, Fantasy, Animation, Romance",1950-02-22,Walt Disney Productions,Clyde Geronimi
Final Destination 5,40000000,157887643,91,"Horror, Mystery",2011-08-12,"Parallel Zide, New Line Cinema, Practical Pictures",Steven Quale
Ocean's Eight,70000000,297718711,111,"Crime, Comedy, Action",2018-06-07,"Village Roadshow Pictures, Warner Bros. Pictures, Larger Than Life Productions, Rahway Road Productions",Gary Ross
The Ritual,1000000,1786396,94,"Horror, Thriller, Mystery",2017-10-11,"Entertainment One, The Imaginarium, Sierra/Affinity",David Bruckner
Hotel Transylvania: Transformania,75000000,18500000,92,"Animation, Comedy, Family, Adventure, Fantasy",2022-01-31,"Sony Pictures Animation, Sony Pictures, MRC, Columbia Pictures",Derek Drymon
Rush Hour,33000000,244721064,97,"Action, Comedy, Crime",1998-09-18,"New Line Cinema, Arthur Sarkissian Productions, Roger Birnbaum Productions",Brett Ratner
Rush,38000000,90200000,123,"Drama, Action",2013-09-02,"Revolution Films, Working Title Films, Imagine Entertainment",Ron Howard
War of the Worlds,132000000,603873119,117,"Adventure, Thriller, Science Fiction",2005-06-13,"Paramount Pictures, DreamWorks Pictures, Amblin Entertainment, Cruise/Wagner Productions",Steven Spielberg
The Grand Budapest Hotel,30000000,174600318,100,"Comedy, Drama",2014-02-26,"Fox Searchlight Pictures, Scott Rudin Productions, Studio Babelsberg, Indian Paintbrush, TSG Entertainment, American Empirical Pictures",Wes Anderson
Superbad,20000000,170800000,113,Comedy,2007-08-17,"Columbia Pictures, Apatow Productions",Greg Mottola
Thor,150000000,449326618,115,"Adventure, Fantasy, Action",2011-04-21,"Marvel Studios, Marvel Entertainment",Kenneth Branagh
Tarot,8000000,49256239,92,Horror,2024-05-01,"Screen Gems, Alloy Entertainment, Ground Control Entertainment, Capstone Pictures",Spenser Cohen
The Twilight Saga: Breaking Dawn - Part 1,110000000,712171856,117,"Adventure, Fantasy, Romance",2011-11-16,"Summit Entertainment, Sunswept Entertainment, TSBD Canada Productions, TSBD Louisiana, TSBD Productions, Temple Hill Entertainment, Total Entertainment",Bill Condon
A Walk to Remember,11800000,47494916,101,"Drama, Romance",2002-01-25,"Gaylord Films, Pandora Pictures, Di Novi Pictures, Warner Bros. Pictures",Adam Shankman
Van Helsing,160000000,300257475,132,"Horror, Adventure, Action",2004-05-03,"Universal Pictures, The Sommers Company, Stillking Films",Stephen Sommers
Into the Wild,15000000,56255142,148,"Adventure, Drama",2007-09-21,"River Road Entertainment, Paramount Vantage, Linson Entertainment, Square One C.I.H.",Sean Penn
Paddington,55000000,326105453,95,"Comedy, Adventure, Family",2014-11-24,"StudioCanal, Anton Capital Entertainment, Heyday Films, TF1 Films Production, Dimension Films",Paul King
The Menu,35000000,79628200,107,"Comedy, Horror, Thriller",2022-11-17,"Hyperobject Industries, Searchlight Pictures, Gary Sanchez Productions, TSG Entertainment",Mark Mylod
Napoleon,165000000,220597098,158,"History, War, Romance",2023-11-22,"Apple Studios, Scott Free Productions",Ridley Scott
Land of Bad,18000000,7021101,113,"Action, War, Thriller",2024-02-09,"Broken Open Pictures, Volition Media Partners, Highland Film Group, Hoodlum Entertainment, R.U. Robot Studios, Moonbow, Gosdom Entertainment, Short Porch Pictures, The Avenue Entertainment",William Eubank
The Equalizer 2,62000000,190400157,121,"Action, Thriller, Crime",2018-07-19,"Lonetree Entertainment, Fuqua Films, Escape Artists, Sony Pictures, ZHIV Productions, Mace Neufeld Productions, Columbia Pictures",Antoine Fuqua
Predator,15000000,98267558,107,"Science Fiction, Action, Adventure, Thriller",1987-06-12,"20th Century Fox, Lawrence Gordon Productions, Silver Pictures, Davis Entertainment, Amercent Films, American Entertainment Partners L.P.",John McTiernan
The Parent Trap,15000000,92108518,128,"Comedy, Family, Romance",1998-07-28,"Walt Disney Pictures, The Meyers/Shyer Company",Nancy Meyers
Jurassic Park,63000000,920100000,127,"Adventure, Science Fiction",1993-06-11,"Universal Pictures, Amblin Entertainment",Steven Spielberg
The Departed,90000000,291465000,151,"Drama, Thriller, Crime",2006-10-04,"Warner Bros. Pictures, Plan B Entertainment, Initial Entertainment Group, Vertigo Entertainment, Media Asia Films",Martin Scorsese
Noah,125000000,362600000,138,"Drama, Adventure",2014-03-07,"Paramount Pictures, Regency Enterprises, Protozoa Pictures, Disruption Entertainment",Darren Aronofsky
28 Weeks Later,15000000,65048725,100,"Horror, Thriller, Science Fiction",2007-04-26,"DNA Films, Figment Films, Sociedad General de Cine S.A., UK Film Council, Fox Atomic, Koan, Sogecine",Juan Carlos Fresnadillo
Penguins of Madagascar,132000000,373515621,92,"Family, Animation, Adventure, Comedy",2014-11-22,"DreamWorks Animation, Pacific Data Images",Simon J. Smith
Ice Age: Dawn of the Dinosaurs,90000000,886686817,94,"Animation, Comedy, Family, Adventure",2009-06-26,"Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",Carlos Saldanha
The Shack,20000000,96942115,132,"Drama, Fantasy",2017-03-03,"Summit Entertainment, Netter Productions, TIK Films, Lionsgate",Stuart Hazeldine
Sherlock Holmes,90000000,524028679,129,"Action, Adventure, Crime, Mystery",2009-12-23,"Warner Bros. Pictures, Village Roadshow Pictures, Silver Pictures, Wigram Productions",Guy Ritchie
Past Lives,12000000,28126646,106,"Drama, Romance",2023-06-02,"A24, Killer Films, 2AM, CJ ENM",Celine Song
The Sixth Sense,40000000,672800000,107,"Mystery, Thriller, Drama",1999-08-06,"Spyglass Entertainment, The Kennedy/Marshall Company, Hollywood Pictures, Barry Mendel Productions",M. Night Shyamalan
Tarzan,130000000,448200000,88,"Family, Adventure, Animation, Drama",1999-06-18,"Walt Disney Pictures, Edgar Rice Burroughs Inc., Walt Disney Feature Animation",Chris Buck
PAW Patrol: The Mighty Movie,30000000,202231360,87,"Family, Comedy, Adventure, Animation",2023-09-21,"Nickelodeon Movies, Spin Master, Paramount Pictures, Mikros Image, Mikros Animation, adrian150 Animation",Cal Brunker
Scream,14000000,173046663,112,"Crime, Horror, Mystery",1996-12-20,"Dimension Films, Woods Entertainment",Wes Craven
Divergent,85000000,288885818,139,"Action, Adventure, Science Fiction",2014-03-14,"Summit Entertainment, Red Wagon Entertainment",Neil Burger
Rise of the Guardians,145000000,306941670,97,"Animation, Family, Fantasy",2012-11-21,DreamWorks Animation,Peter Ramsey
Men in Black,90000000,589400000,98,"Action, Adventure, Comedy, Science Fiction",1997-07-02,"Columbia Pictures, Amblin Entertainment, MacDonald/Parkes Productions",Barry Sonnenfeld
The First Omen,30000000,53992802,119,Horror,2024-04-03,"Phantom Four, 20th Century Studios",Arkasha Stevenson
Wish,175000000,254997360,95,"Animation, Family, Fantasy, Adventure",2023-11-13,"Walt Disney Pictures, Walt Disney Animation Studios",Fawn Veerasunthorn
Alita: Battle Angel,170000000,405000000,122,"Action, Science Fiction, Adventure",2019-01-31,"Troublemaker Studios, Lightstorm Entertainment, 20th Century Fox, TSG Entertainment",Robert Rodriguez
Kung Fu Panda 3,145000000,521170825,95,"Action, Adventure, Animation, Comedy, Family",2016-01-23,"DreamWorks Animation, China Film Group Corporation, Oriental DreamWorks, Zhong Ming You Ying Film",Jennifer Yuh Nelson
The Princess Diaries,37000000,165335153,115,"Comedy, Family, Romance",2001-08-03,"Bottom of the Ninth Productions, Walt Disney Pictures, BrownHouse Productions",Garry Marshall
Challengers,55000000,94182533,132,"Drama, Romance",2024-04-18,"Pascal Pictures, Why Are You Acting? Productions, Frenesy Film, Metro-Goldwyn-Mayer",Luca Guadagnino
Alice in Wonderland,200000000,1025467110,108,"Family, Fantasy, Adventure",2010-03-03,"Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions, The Zanuck Company",Tim Burton
Madame Web,80000000,100498764,117,"Action, Fantasy",2024-02-14,"Columbia Pictures, di Bonaventura Pictures",S.J. Clarkson
Bullet Train,90000000,239300000,126,"Action, Comedy, Thriller",2022-08-03,"87North Productions, Columbia Pictures",David Leitch
